incident_id,customer_id,incident_created_by,order_external_id,order_item_id_list,final_issue_type,final_sub_issue_type,final_sub_sub_issue_type,ssi,status_name,incident_creation_time,incident_first_solved_time,incident_last_solved_time,assigned_to_queue_at,ipd_fpd,first_spd,first_status,last_spd,last_status,last_jeeves_bsd_flag,dep_team,incident_channel,current_queue_name,jn_flag,order_journey_node,ocr_classification,analytic_vertical_flag,vip_flag,large_grocery_nl_flag,inc_order_flag,contacts,Contact Flag,Current Date,Final Date,Days Delta,Days Flag,Final Flag,Problem Statement,Problem Group,Owner,Consider,Senti,Current_status,Last_Solved_By,Last_Solved_On,Status_Group,ExactStatus,Ageing_OR_Q2R
IN24052519234383447281,ACCB5EECEEAFF7F4E6D94F4772816CC1330I,tpm.637224,OD331349775576009300,3.313497755760093e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-25 19:23:43,,,2024-05-25 19:23:45,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 19:23:45,0,0,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,rcbp-service,2024-05-27 23:00:02,Solved,Solved,51.60527777777778
IN24051511045903893964,ACC30F0BEE19A564D2B872FB09DCBC3F6EA9,tpm.714840,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-15 11:04:59,,,2024-05-15 11:05:05,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-15 11:05:05,10,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-26 11:43:34,Open,ReOpen,312.8128059222222
IN24052304575583341264,ACC14D754371F2345DCA6EB8CAFDC7C1802H,starkol.80528265,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Internal Updates,2024-05-23 04:57:55,,,2024-05-23 05:00:18,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-23 05:00:18,3,3,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Solved,fapl.930361,2024-05-26 18:49:40,Solved,Solved,85.8625
IN24052418125405762757,ACC1C3C4B53582F4211857DEBA9FF84A596A,ttaskmys.1200127,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Customer Updates,2024-05-24 18:12:54,,,2024-05-24 18:16:09,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-24 18:16:09,1,1,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Solved,fapl.2165699,2024-05-27 19:52:34,Solved,Solved,73.66111111111111
IN24052514292095724744,ACCF784977240574B4AB7F75B5ED0C6FB37K,techmk.2232305,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Updated,2024-05-25 14:29:20,,,2024-05-25 14:31:44,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 14:31:44,0,0,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Solved,fapl.797672,2024-05-26 14:19:17,Solved,Solved,23.8325
IN24052518332016726990,ACCA1B2F934FFF4446C9A40B66D3816CB293,ieddn.t215603,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Unresolved,2024-05-25 18:33:20,,,2024-05-25 18:33:35,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 18:33:35,0,0,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2110519,2024-05-26 10:32:51,Open,ReOpenByL2,65.34030592222221
IN24052417363632786764,ACC84412A4B787F45AB84935B3AE7EF6BF9T,starkol.2024150578,OD431340733005691300,4.313407330056913e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-24 17:36:36,,,2024-05-24 17:36:38,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-24 17:36:38,1,1,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 23:30:04,Solved,Solved,77.89111111111112
IN24052510221926237903,ACCDB844737335A483D87433C9F846D0076,tpm.702045,OD431340447932477300,4.313404479324773e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-25 10:22:19,2024-05-25 10:22:23,2024-05-25 10:22:23,2024-05-25 10:22:21,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 10:22:21,0,0,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-25 14:02:44,Open,ReOpen,73.52391703333333
IN24052312434867713892,ACC2A14ED95F5214678A52C5FE832F7EC3CV,starblr.80480516,OD431319231020322300,4.313192310203223e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-23 12:43:48,,,2024-05-23 12:43:49,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,,0,2024-05-26 10:00:00,2024-05-23 12:43:49,2,2,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 20:30:22,Solved,Solved,103.7761111111111
IN24052421191529303275,ACCBCEC058871094858BF8731A1DA8844C26,ieddn.t247929,OD331330629451831300,3.313306294518313e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-24 21:19:15,,,2024-05-24 21:19:17,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-24 21:19:17,1,1,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 20:30:15,Solved,Solved,71.18333333333334
IN24051214345778919102,ACCF03CEE95CB6847ADA508327A11130A46A,techmchflex24.2288498,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-12 14:34:57,,,2024-05-12 14:35:44,,,,,,,cx,Email,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-12 14:35:44,13,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.958402,2024-05-28 09:51:51,Open,ReOpenByL2,381.31336147777773
IN24051519112487741998,ACC609F0E6CE5664CB2A00C4B2785F92A46B,ieddn.t250468,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Unresolved,2024-05-15 19:11:24,,,2024-05-15 19:16:00,,,,,,,cx,Email,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,3.0,3,2024-05-26 10:00:00,2024-05-15 19:16:00,10,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.929876,2024-05-26 09:22:40,Open,ReOpenByL2,304.7058614777778
IN24052314030595871274,ACC13711866974372056,tpm.714319,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-23 14:03:05,,,2024-05-23 14:03:11,,,,,,,cx,Email,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-23 14:03:11,2,2,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2249138,2024-05-26 15:18:02,Open,ReOpenByL2,117.84447258888889
IN24052319063458055960,ACCEC611DB2A9DA44FA99672A35A442DBCBS,techmn.2304598,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-23 19:06:34,,,2024-05-23 19:06:44,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-23 19:06:44,2,2,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.864898,2024-05-27 15:19:24,Open,ReOpenByL2,112.78641703333334
IN24052415371184514946,ACC51913B920FD9446BBBB4359135E882B02,tp.4692363,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-24 15:37:11,,,2024-05-24 15:37:18,,,,,,,cx,Email,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-24 15:37:18,1,1,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2165699,2024-05-27 18:17:55,Open,ReOpenByL2,92.27613925555556
IN24051817292524950381,ACC0338D5B84ED74889821CCA0D80B21D2DP,tpm.673033,OD331147990804833300,3.311479908048333e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-18 17:29:25,2024-05-18 20:24:27,2024-05-19 20:43:12,2024-05-18 17:29:27,,,,,,,cx,Email,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-18 17:29:27,7,>5,5X5,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,rcbp-service,2024-05-27 13:07:12,Solved,Solved,211.62972222222223
IN24052511225558739065,ACCE9680127D43C472593B94E676FEBF9928,starkol.c202172042,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Internal Updates,2024-05-25 11:22:55,,,2024-05-25 11:27:44,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 11:27:44,0,0,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2110519,2024-05-25 12:03:40,Open,ReOpenByL2,72.51391703333333
IN24052518405080025130,ACC5B6CBF801AA64083B3E6905D0D9604DDS,techmkflex22.2099777,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Unable to place order using Flipkart Pay Later,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Unable to place order using Flipkart Pay Later,Unresolved,2024-05-25 18:40:50,,,2024-05-25 18:41:01,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 18:41:01,0,0,1X2,Unable to place order BNPL,Fintech / Payments,Tibin,Yes,,Solved,fapl.2165845,2024-05-26 18:53:41,Solved,Solved,24.214166666666667
IN24051814550344037050,ACCFB7070D9F61A4AC7AB87DE496366ACDFB,tpm.600837,OD331225790593361300,3.312257905933613e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-18 14:55:03,,,2024-05-18 14:55:05,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,3.0,3,2024-05-26 10:00:00,2024-05-18 14:55:05,7,>5,5X5,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.990403,2024-05-26 17:57:50,Open,ReOpenByL2,236.97836178361112
IN24052117452059617866,ACC21093C728CC645C183CED5A0399D0565Q,tpm.664816,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Internal Updates,2024-05-21 17:45:20,,,2024-05-21 17:45:45,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-21 17:45:45,4,4,3X4,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2254950,2024-05-28 10:48:09,Open,ReOpenByL2,162.14030622805555
IN24052319372706856597,ACC122D0B7EDDDC45A392CAE907A560B9D1X,techmchflex23.2244356,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-23 19:37:27,2024-05-23 19:37:56,2024-05-23 19:39:21,2024-05-24 17:51:08,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-24 17:51:08,1,1,Others,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2250410,2024-05-28 10:12:51,Open,ReOpenByL2,90.0436395613889
IN24052508575496254814,ACCB98D37EF15524BB5AE4CA7B4CE5BBF28,starkol.81027072,OD431330350501705300,4.313303505017053e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-25 08:57:54,,,2024-05-25 08:57:56,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 08:57:56,1,1,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 19:31:32,Solved,Solved,58.56055555555555
